cycle;plan;pct_stock;stock_moy;alertes;pct_malbouffe;pct_rejet_culture;pct_rejet_budget;evit_hist;nb_malbouffe;nb_equilibre;rejets_culture;rejets_budget
0;1;63;21;1;15;15;51;519;20;106;672;2286
20;2;63;24;0;0;15;57;1422;0;126;672;2554
40;3;60;21;1;15;15;61;1507;19;107;672;2721
60;4;61;19;0;0;15;65;1570;0;126;672;2870
80;5;59;22;1;15;15;63;1606;19;107;672;2805
100;6;60;23;0;3;15;63;1576;4;122;672;2806
120;7;65;23;1;16;15;61;1638;21;105;672;2731
140;8;56;19;1;7;15;65;1471;9;117;672;2872
160;9;62;22;1;11;15;66;1627;15;111;672;2924
180;10;58;23;1;7;15;66;1566;10;116;672;2938
200;11;61;24;1;12;15;66;1550;16;110;672;2937
220;12;53;23;1;7;15;66;1552;9;117;672;2928
240;13;61;22;1;10;15;67;1629;13;113;672;2970
260;14;60;21;1;6;15;66;1607;8;118;672;2929
280;15;57;22;1;11;15;68;1545;15;111;672;3004
300;16;59;19;1;7;15;66;1514;10;116;672;2935
320;17;57;20;1;11;15;66;1518;14;112;672;2912
340;18;57;26;1;6;15;65;1694;8;118;672;2910
360;19;57;26;1;13;15;66;1582;17;109;672;2948
380;20;61;19;1;4;15;68;1631;6;120;672;2999
400;21;59;21;1;12;15;66;1561;16;110;672;2945
420;22;64;22;1;7;15;66;1589;9;117;672;2930
440;23;60;21;1;9;15;65;1462;12;114;672;2888
460;24;55;24;1;7;15;65;1644;9;117;672;2879
480;25;62;24;1;11;15;65;1519;15;111;672;2894
500;26;61;20;1;3;15;65;1576;5;121;672;2908
520;27;59;21;1;11;15;65;1629;15;111;672;2910
540;28;57;21;1;8;15;66;1638;11;115;672;2915
560;29;57;22;1;13;15;65;1546;17;109;672;2898
580;30;60;22;1;6;15;68;1637;8;118;672;3012
600;31;61;21;1;11;15;67;1627;14;112;672;2989
620;32;55;20;1;7;15;67;1630;9;117;672;2996
640;33;61;25;1;11;15;67;1677;15;111;672;2992
660;34;62;20;1;7;15;68;1566;9;117;672;3012
680;35;58;24;1;9;15;69;1569;12;114;672;3059
700;36;56;22;1;7;15;69;1644;9;117;672;3060
720;37;59;21;1;9;15;68;1609;12;114;672;3018
740;38;61;21;1;8;15;66;1646;11;115;672;2928
760;39;57;24;1;12;15;66;1503;16;110;672;2934
780;40;59;22;1;7;15;67;1662;10;116;672;2980
