plan;stock_pct;malbouffe_pct;budget_restant;rejet_cult_pct;rejet_budg_pct;alertes
1;63;15;21750;15;51;1
2;63;0;16583;15;57;0
3;60;15;12750;15;61;1
4;61;0;12333;15;65;0
5;59;15;12000;15;63;1
6;60;3;11333;15;63;0
7;65;16;8416;15;61;1
8;56;7;6000;15;65;1
9;62;11;5833;15;66;1
10;58;7;5166;15;66;1
11;61;12;5500;15;66;1
12;53;7;2833;15;66;1
13;61;10;3583;15;67;1
14;60;6;1500;15;66;1
15;57;11;3916;15;68;1
16;59;7;4666;15;66;1
17;57;11;4333;15;66;1
18;57;6;3833;15;65;1
19;57;13;2666;15;66;1
20;61;4;3250;15;68;1
21;59;12;4083;15;66;1
22;64;7;6416;15;66;1
23;60;9;8416;15;65;1
24;55;7;6833;15;65;1
25;62;11;7583;15;65;1
26;61;3;5750;15;65;1
27;59;11;5500;15;65;1
28;57;8;4166;15;66;1
29;57;13;2666;15;65;1
30;60;6;1583;15;68;1
