plan;stock_pct;malbouffe_pct;budget_restant;rejet_cult_pct;rejet_budg_pct;alertes
1;62;11;5333;15;69;1
2;64;12;0;15;84;1
3;61;8;0;15;84;1
4;58;10;0;15;84;1
5;57;8;0;15;84;1
6;58;10;0;15;84;1
7;60;6;0;15;84;1
8;50;8;0;15;84;1
9;58;7;0;15;84;1
10;61;7;0;15;84;1
11;61;6;0;15;84;1
12;53;12;0;15;84;1
13;57;7;0;15;84;1
14;57;8;0;15;84;1
15;60;7;0;15;84;1
16;50;5;0;15;84;1
17;60;7;0;15;84;1
18;56;5;0;15;84;1
19;59;7;0;15;84;1
20;53;7;0;15;84;1
21;58;10;0;15;84;1
22;56;4;0;15;84;1
23;58;8;0;15;84;1
24;58;7;0;15;84;1
25;60;10;0;15;84;1
26;58;6;0;15;84;1
27;63;10;0;15;84;1
28;52;7;0;15;84;1
29;57;10;0;15;84;1
30;56;4;0;15;84;1
