plan;stock_pct;malbouffe_pct;budget_restant;rejet_cult_pct;rejet_budg_pct;alertes
1;15;12;583;15;71;2
2;55;34;333;15;70;4
3;57;12;500;15;71;2
4;62;31;416;15;72;4
5;36;15;333;15;71;2
6;55;31;83;15;70;4
7;60;13;250;15;71;2
8;63;34;83;15;70;4
9;32;12;666;15;71;2
10;42;34;83;15;71;4
11;56;15;0;15;72;2
12;54;32;416;15;70;4
13;45;14;500;15;71;2
14;53;32;83;15;71;4
15;65;14;750;15;70;2
16;56;32;416;15;70;4
17;34;15;416;15;70;2
18;46;32;500;15;71;4
19;58;15;916;15;70;2
20;61;31;333;15;71;4
21;44;15;583;15;70;2
22;54;34;0;15;72;4
23;63;13;83;15;70;2
24;57;33;416;15;70;4
25;35;14;0;15;70;2
26;51;33;333;15;70;4
27;57;13;83;15;70;2
28;60;34;0;15;72;4
29;43;13;0;15;70;2
30;54;34;416;15;71;4
